"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase"
18,3,20,"female",3,9,6.88143590000254,7,"baseline"
18,3,20,"female",4,4,3.78444900000613,4,"baseline"
18,3,20,"female",5,2,1.86389029999555,2,"baseline"
18,3,20,"female",6,7,6.03019789999962,6,"baseline"
18,3,20,"female",7,3,2.31527600000118,2,"effect"
18,3,20,"female",8,6,5.16436500000418,5,"effect"
18,3,20,"female",9,5,4.06476609999663,4,"effect"
18,3,20,"female",10,2,1.5322656999997,2,"effect"
18,3,20,"female",11,9,7.26020059999428,7,"effect"
18,3,20,"female",12,4,4.3800556999995,4,"effect"
19,1,22,"female",1,5,2.81398140000238,20,"baseline"
19,1,22,"female",2,3,1.9658488999994,15,"baseline"
19,1,22,"female",3,9,3.66235810000217,30,"baseline"
19,1,22,"female",4,4,2.14519149999978,20,"baseline"
19,1,22,"female",5,2,1.39542449999863,15,"baseline"
19,1,22,"female",6,7,2.49814940000215,20,"baseline"
19,1,22,"female",7,3,1.76346770000237,20,"effect"
19,1,22,"female",8,6,2.66274839999824,30,"effect"
19,1,22,"female",9,5,2.17865069999971,30,"effect"
19,1,22,"female",10,2,1.26300140000239,15,"effect"
19,1,22,"female",11,9,2.7651604000057,30,"effect"
19,1,22,"female",12,4,1.2971686000019,20,"effect"
2,2,23,"male",1,5,3.96521389999543,5,"baseline"
2,2,23,"male",2,3,2.59551090000605,4,"baseline"
2,2,23,"male",3,9,9.44451469999331,9,"baseline"
2,2,23,"male",4,4,3.09640209999634,5,"baseline"
2,2,23,"male",5,2,1.74905040000158,4,"baseline"
2,2,23,"male",6,7,7.56372550000378,7,"baseline"
2,2,23,"male",7,3,3.01200309999695,3,"effect"
2,2,23,"male",8,6,5.76328919999651,6,"effect"
2,2,23,"male",9,5,3.41396940000413,5,"effect"
2,2,23,"male",10,2,1.22980800000369,2,"effect"
2,2,23,"male",11,9,8.24632930000371,9,"effect"
2,2,23,"male",12,4,3.81540160000441,4,"effect"
20,2,26,"male",1,5,5.92767189999722,6,"baseline"
20,2,26,"male",2,3,2.39657650000299,2.7,"baseline"
